ID,Nombre,Ciudad,Direccion,Instagram,
1,AST,Maipu,La fortuna 520,https://www.instagram.com/astamericanstyletraining/,
2,Estrellas de molina,Quinta Normal,Augusto Matte 1645 ,https://www.instagram.com/estrellasdemolina/,
3,Fermin Osorio,Lo espejo,Pje. 38 2238,https://www.instagram.com/ferminosoriooficial/,
4,Illapel Basquebol,Illapel,Avenida Slavador allende 828,https://www.instagram.com/illapelbasquet_seriesmenores/,
5,Basquetbol INBA,Lo prado,"La Comuna 5447, Lo Prado",https://www.instagram.com/club_basquetbolinba/,
6,Interchile,San bernardo,Alfonso Donoso 372,https://www.instagram.com/interchile.basquet/,
7,La granja basquetbol,La granja,San Gregorio 436,https://www.instagram.com/la_granja_basquetbol/,
8,RDS,San bernardo,Bulnes 1207,https://www.instagram.com/basketball.rds/,
9,Talento humano,Ñuñoa,Carmen Covarrubias 39,https://www.instagram.com/thbasquet_nunoa/,
10,U. de chile,,,,
11,CMD recoleta,Recoleta,Avenida recoleta 3005,https://www.instagram.com/cmdrecoletabasquetbol/,
12,Club Cordillera,,,,
13,Estrellas de orion,San bernardo,San francisco 14551,https://www.instagram.com/cdestrellasdeorion/,https://clubestrellasdeorion.crosshero.site/
14,Huasares talagante,,,,
15,Ohiggins,,,,
16,Magic Quilicura,,,,
17,CD quinta normal,,,,
18,REX,San miguel,Gran avenida 4688,https://www.instagram.com/rex.basket/,
19,El sabueso,Pudahuel,Gladis Marin 5783,https://www.instagram.com/clubdeportivoelsabueso/,
20,Tejones,,,,
21,Estadio espanol,Las condes,Nevería 4855,https://www.instagram.com/rama_baloncesto_eespanol/,
22,Dragones la reina,La reina,Francisco de Villagra 6581,,
23,Estadio Israelita,Las condes,Av. Las Condes 8361,,
24,Estudiantes Santiago,La reina,avenida príncipe de gales 6030,https://www.instagram.com/c.e.s_stgo/,
25,Huechuraba,,,,
26,Club Palestino,Las condes,Av. Pdte. Kennedy 9351,,
27,Santiago Escante,Macul,Mauricio Rugendas 5407,https://www.instagram.com/santiagoescante/,
28,Union la granja,,,,
29,Santiago Ballers,Macul,Los Profetas 3987,,
30,Boston College,,,,
31,Estadio Mayor,,,,
32,Providencia,,,,
33,Ceppi,,,https://www.instagram.com/clubdeportivosergioceppi/,
34,Luis Mate Larrain,,,,
35,Manquehue,Las condes,Av Vitacura 5841,,
36,Aguilucho,,,,
37,Brisas,,,,
38,Universidad Catolica,,,,
39,Croata,Las condes,Av Vitacura 8049,,
40,CD new leaders,,,,
41,Stadio Italiano,Las condes,Av. Apoquindo 6589,https://www.instagram.com/pallacanestro_stadio_italiano/,
42,Club basquetbol Colina,,,,
43,Colo Colo,,,,
